                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.90579,                 1.1484,                 1.0864,                 0.9544,                 0.3894,                0.58921,                0.42094,                 1.1003,                 1.7389,                 1.1504,             0.00029028,             0.00029028,             0.00029028
                     35,                0.94578,                 1.2431,                   1.18,                0.74139,                0.45371,                0.56411,                 0.3985,                 1.0788,                 1.6646,                 1.1471,             0.00028187,             0.00028187,             0.00028187
                     36,                0.92571,                 1.2097,                 1.1316,                 0.7365,                0.47983,                0.56021,                0.39622,                 1.0792,                 1.6168,                 1.1521,             0.00027246,             0.00027246,             0.00027246
                     37,                0.84449,                 1.0939,                 1.0768,                 0.7365,                0.47983,                0.56021,                0.39622,                 1.0792,                 1.6168,                 1.1521,             0.00026207,             0.00026207,             0.00026207
                     38,                0.86621,                 1.0905,                  1.058,                0.76397,                0.49786,                0.56723,                 0.4021,                 1.0564,                 1.5833,                 1.1339,             0.00025069,             0.00025069,             0.00025069
                     39,                0.93854,                 1.1003,                 1.1538,                0.77739,                0.47961,                0.56783,                0.40515,                 1.0551,                 1.5578,                 1.1276,             0.00023832,             0.00023832,             0.00023832
                     40,                 0.9642,                  1.102,                 1.1595,                0.77739,                0.47961,                0.56783,                0.40515,                 1.0551,                 1.5578,                 1.1276,             0.00022495,             0.00022495,             0.00022495
                     41,                0.99506,                  1.281,                 1.2152,                0.76996,                0.49272,                 0.5737,                0.41372,                 1.0566,                 1.5571,                 1.1229,              0.0002106,              0.0002106,              0.0002106
                     42,                0.92329,                 1.1891,                 1.1388,                0.78445,                0.49868,                0.58628,                0.41491,                 1.0573,                  1.554,                 1.1104,             0.00019526,             0.00019526,             0.00019526
                     43,                 0.8799,                  1.118,                 1.0886,                0.78445,                0.49868,                0.58628,                0.41491,                 1.0573,                  1.554,                 1.1104,             0.00017893,             0.00017893,             0.00017893
                     44,                0.90257,                 1.1861,                  1.137,                 0.8209,                0.49229,                0.59996,                 0.4141,                 1.0782,                 1.5502,                 1.1242,              0.0001616,              0.0001616,              0.0001616
                     45,                0.85664,                 1.0752,                 1.0737,                 0.8209,                0.49229,                0.59996,                 0.4141,                 1.0782,                 1.5502,                 1.1242,             0.00014329,             0.00014329,             0.00014329
                     46,                0.92685,                 1.1794,                 1.1307,                0.85011,                0.49134,                0.60892,                0.42011,                 1.0998,                 1.5492,                 1.1378,             0.00012399,             0.00012399,             0.00012399
                     47,                0.87285,                 1.0792,                 1.0782,                0.85011,                0.49134,                0.60892,                0.42011,                 1.0998,                 1.5492,                 1.1378,             0.00010369,             0.00010369,             0.00010369
                     48,                0.87484,                 1.1027,                 1.0764,                 0.8536,                0.51118,                0.61497,                0.42347,                  1.114,                 1.5165,                 1.1572,             8.2413e-05,             8.2413e-05,             8.2413e-05
                     49,                0.85763,                 1.0968,                 1.1004,                 0.8536,                0.51118,                0.61497,                0.42347,                  1.114,                 1.5165,                 1.1572,              6.014e-05,              6.014e-05,              6.014e-05
                     50,                0.84844,                 1.1212,                 1.0947,                0.86786,                0.52427,                0.62044,                0.42705,                 1.1207,                 1.4754,                 1.1658,             3.6878e-05,             3.6878e-05,             3.6878e-05
